"prevalence","meanMOIvar","meanPTS","meanPTSGroupBC","inverseSimpsonIndex","inverseSimpsonIndexBC","instance"
0.3845,5.3690661382935,0.0346139019392946,0.0278466899655899,5797.8766735749,5805.06124331408,148
0.4075,7.29804583893762,0.045344000677495,0.0398217579562996,6133.93244459335,5614.15408716645,149
0.437,6.42798110501808,0.00997029620536908,0.00838820380758292,22974.9211889175,21426.876772675,150
0.449,9.1363664307331,0.0507882076886774,0.0435792654457289,6819.55993328797,6445.56986047823,151
0.458,9.12982406609784,0.0284931903898427,0.0251157765470119,12121.1673744808,10936.0157695871,152
0.4235,4.31100662359506,0.0157983202572732,0.0144371567736634,9987.04284588263,8682.76126449024,153
0.2275,5.32883018036299,0.0522603715334516,0.0364115096910631,3664.70819482298,4265.47121945353,154
0.215,4.13777375080265,0.0747449627927564,0.0637354876452984,1976.15996793565,1926.10172131714,155
0.413,5.24479870103696,0.0445548537960295,0.0400670245340878,4434.91408654589,3985.52745582737,156
0.4405,6.44339732046831,0.0454422466092058,0.0442725812544126,5420.77938645657,4452.40112338439,157
0.4,4.47068684783301,0.0169204338239799,0.0137290921262861,9649.9909347155,9422.35374232576,158
0.3755,6.07111048894577,0.0481691565788734,0.0365424664975292,4662.66233672704,4996.5196880419,159
0.3085,4.65802683452312,0.0264115117030234,0.0245555438100309,6536.8066809023,5591.68872318489,160
0.382,2.9499936229752,0.0110943543027325,0.00920217314101722,9184.92858798859,8620.83385469009,161
0.1835,4.24041333917151,0.0335842686964884,0.030102132112261,4556.23072416239,4032.94681880367,162
0.389,4.1582843391497,0.010307525931038,0.00912068299665712,14079.7097770359,12570.2116613321,163
0.2825,2.38282384002177,0.0185156127179049,0.0088065147872784,4505.21453328244,6940.23486117424,164
0.272,5.61968333123373,0.0630398255908306,0.0561559178771565,3295.08565866852,3000.65742650639,165
0.406,4.62223796703911,0.0458719278269287,0.0381132511486413,3807.89343236419,3718.64494243897,166
0.321,2.00901707280615,0.0443415456803351,0.0374413247375281,1640.73255458215,1546.25698019658,167
0.34,3.26966842442188,0.0207725208678917,0.00845893452196395,5688.98796138558,10257.3083285708,168
0.4575,8.69073390126833,0.0526658488112215,0.0421910364750501,6298.42137864672,6355.49260853227,169
0.404,5.49875194797873,0.0643087242322562,0.042876959777755,3077.37460384708,4014.01667935937,170
0.305,3.97371647413785,0.0736536514962601,0.0586712854182218,1912.94583336887,2026.72740503081,171
0.337,6.15023827462293,0.0240163813171557,0.0205054907268394,9529.11688242129,8927.83913578363,172
0.2315,4.01795171729988,0.0548807401601481,0.0516032717571571,2663.28175023729,2290.96657650606,173
0.4555,7.02557455488304,0.0146159482865369,0.0100472017993961,17613.2340614791,19883.6693733978,174
0.3375,3.87255036114688,0.00998947895207746,0.00787212598802729,13186.0266299916,12865.9342245878,175
0.3725,2.72071148946733,0.00794736103377373,0.0053244279832942,11381.8212656689,12662.8721228664,176
0.4545,7.98518140881931,0.0270464533121594,0.0246735144100746,11178.0059121175,9755.71324967447,177
0.316,4.28832702008548,0.012433134931214,0.0103319161276854,11921.4513934848,11188.8662201105,178
0.3735,3.25755304335378,0.0103852155802278,0.00853270794826784,10726.7743983881,10169.3909930837,179
0.3165,3.42676550302024,0.0837042877122096,0.0739274987989305,1494.07992150506,1391.6206645586,180
0.4425,8.31625210178889,0.0479463598558649,0.0200827453023824,6115.28365344666,12312.9882850889,181
0.3035,4.21202449700562,0.0356131513973073,0.0329791775865391,4388.47412834973,3800.01852256002,182
0.4585,5.70471144111769,0.0185032879279449,0.0125322473300433,11491.152710076,13302.0288215324,183
0.454,10.2658837832146,0.0418527853440303,0.0332000252393447,9358.733724676,9503.74434773145,184
0.1785,3.28484987074488,0.0595296627533334,0.0556506634364205,1995.91197819093,1690.26598288519,185
0.286,2.85570973054629,0.108373785668473,0.0954405051333737,958.366882908288,892.042287567108,186
0.2915,1.92747568278885,0.023850721533371,0.0149538171416595,2900.87553816679,3563.83067702507,187
0.4145,6.74941135029563,0.0174741896204806,0.0149388643133052,14219.6950980773,13136.5815009187,188
0.3275,6.44721638135605,0.0378083386331093,0.0351696754096374,6437.75676751201,5553.02183434108,189
0.2695,4.55252523956848,0.0159355378238113,0.0133879837790646,9998.88262208112,9294.91499467063,190
0.3085,3.09600738846745,0.0100923936480745,0.00684178327069106,10231.2131927124,11276.9650446652,191
