"instance","prevalence","meanMOIvar","meanPTS","meanPTSGroupBC","inverseSimpsonIndex","inverseSimpsonIndexBC"
6893,0.2575,4.47113877434854,0.00876109798052874,0.0052727098860598,16484.6628418953,19572.1623315825
6894,0.2185,2.60959185164379,0.0112560933210926,0.0092287190801353,7450.93157044182,7012.89317645982
6895,0.282,3.24902384630997,0.0628055526591613,0.0562552803971615,1930.71445004609,1727.79382323378
6896,0.1195,2.76981103085442,0.0698908048783959,0.0318132147340882,1311.33570331358,2387.18814434214
6897,0.2485,3.4711597589202,0.0111945766283666,0.00868060095272508,10367.1283616677,10189.1559513079
6898,0.282,4.95139002620591,0.00836482149330836,0.00620672494155203,19328.4141453529,19603.8931083841
6899,0.418,4.32109034695952,0.0124918278343437,0.00563863773241959,12431.1522871069,20012.1544602237
6900,0.2555,2.46286239047636,0.0292658634021794,0.0252132077434278,2994.99924815947,2754.3592067997
6901,0.184,3.68552193559919,0.0239232957181063,0.0212091866345672,5337.55206933659,4726.81465475223
6902,0.3825,3.65801654872928,0.00642047408075363,0.00467897708708494,18642.3479105281,19156.5208745608
6903,0.421,7.87577663941185,0.0142383381500714,0.0122302226565618,20333.7950621165,18630.1657842024
6904,0.208,3.10253081396412,0.00934210540875913,0.00609288794711001,10381.3825177492,11411.9957640016
6905,0.399,3.14722591351317,0.00497606662082564,0.00393566711737577,19619.9273741218,18603.7756941871
6906,0.162,5.30287278349726,0.125846145992404,0.110853510767563,1464.84639311721,1393.95479780337
6907,0.2895,7.13913561470791,0.0348532808251162,0.0231195905453341,7565.46990676014,9121.55130829116
6908,0.241,3.23720783599461,0.0229228806919913,0.0111076679326836,5000.17152617912,7750.39371279977
6909,0.372,3.07019926516916,0.0242995099081403,0.00804860586174144,4549.16602469171,10266.9134113411
6910,0.305,2.14393620970848,0.00435331637348104,0.00317288572546661,13890.3996499587,13691.3590899157
6911,0.233,4.42420186144851,0.00673891222219392,0.00522560543010096,19654.5463871779,18780.4381379733
6912,0.2575,3.47426971908101,0.00569034567673422,0.00462216773678917,17841.5587383031,16488.3050201614
6913,0.298,1.97126244280988,0.00787424204575426,0.00365860404355328,7936.14188414211,11265.3876051406
6914,0.119,4.94348534319522,0.0166951890618438,0.0133137266329759,9058.14880975958,8651.55974709807
6915,0.1635,2.4303654134377,0.0804282792458814,0.0715312457126308,1096.00065958652,991.017396826776
6916,0.299,2.30371163014144,0.00475980902384977,0.00366954067251467,13786.8227362832,13149.0793085521
